Sample,Notes,Unit,Analysis_type,UTM (E),UTM (N),Latitude,Longitude,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Original Total,Ba,Ce,Cr,Cu,Ga,La,Nb,Nd,Ni,Pb,Rb,Sc,Sr,Th,U,V,Y,Zn,Zr,,,
UB-1,"scoria bombs, floor of UB",Ubehebe Crater,whole_rock,460044,4096096,37.01018054,-117.4491232,49.51,1.93,16.78,10.29,0.17,5.20,8.09,4.06,2.36,1.21,99.01,1376,191,63,28,20,101,36,80,48,9,30,17,1563,8,3,172,30,136,396,,,
UB-2,"scoria bombs, floor of UB",Ubehebe Crater,whole_rock,460044,4096096,37.01018054,-117.4491232,50.03,1.92,16.84,10.16,0.17,5.06,7.80,4.05,2.37,1.20,99.45,1380,194,61,28,20,99,36,78,48,9,32,16,1564,9,3,171,29,141,399,,,
UB-2R,"scoria bombs, floor of UB",Ubehebe Crater,whole_rock,460044,4096096,37.01018054,-117.4491232,50.11,1.93,16.84,9.95,0.17,5.09,7.87,4.06,2.37,1.21,99.20,1388,198,64,30,19,99,36,81,49,9,31,17,1551,10,3,175,29,136,396,,,
UB-3,"final aggultinate, floor of UB",Ubehebe Crater,whole_rock,459846,4096113,37.01032534,-117.4513496,49.01,2.00,16.60,10.46,0.17,5.35,8.55,3.97,2.27,1.21,99.19,1335,190,65,36,20,99,34,78,48,9,29,17,1580,8,2,181,29,136,378,,,
UB-24,"final aggultinate, floor of UB",Ubehebe Crater,whole_rock,459848,4096117,37.01036148,-117.4513274,49.16,2.02,16.72,10.14,0.17,5.33,8.56,3.99,2.31,1.20,99.15,1363,193,63,34,19,98,35,79,48,10,28,17,1586,9,2,180,30,139,383,,,
UB-33,in Ubehebe deposits; North,Ubehebe Crater,whole_rock,459580,4096305,37.01204464,-117.4543498,49.54,1.95,16.84,10.30,0.17,5.15,7.99,4.08,2.36,1.22,99.48,1384,197,69,29,21,105,37,81,49,9,29,18,1588,9,2,173,30,140,398,,,
UB-35,in Ubehebe deposits; North,Ubehebe Crater,whole_rock,459775,4096339,37.01235949,-117.4521598,49.46,1.92,16.69,10.22,0.17,5.35,8.36,3.94,2.32,1.17,99.12,1334,184,72,33,21,97,33,75,51,10,32,18,1531,8,3,178,30,137,373,,,
UB-36-1,in Ubehebe deposits; West,Ubehebe Crater,whole_rock,459331,4095888,37.008275,-117.4571262,48.65,1.89,16.41,9.95,0.18,6.23,9.15,3.77,2.24,1.14,98.94,1300,184,69,49,20,95,32,74,56,9,30,18,1490,9,2,175,28,136,373,,,
UB-37-1,in Ubehebe deposits; South,Ubehebe Crater,whole_rock,460115,4095392,37.0038376,-117.4482879,49.56,1.92,16.70,10.12,0.17,5.35,8.36,3.92,2.33,1.17,98.53,1351,189,69,35,19,101,34,76,55,11,33,17,1520,9,4,180,30,133,383,,,
UB-21,west of vent,Crater P,whole_rock,459329,4095484,37.00463321,-117.4571268,49.70,1.97,16.94,9.95,0.17,5.18,7.98,4.14,2.36,1.20,99.02,1382,200,69,29,21,100,37,81,50,11,28,16,1577,10,1,176,30,138,398,,,
UB-22,near south rim of vent,Crater P,whole_rock,459470,4095346,37.00339535,-117.4555347,49.90,1.96,16.90,10.04,0.17,5.12,7.81,4.11,2.38,1.21,99.34,1390,198,66,29,20,98,36,81,49,10,29,16,1572,9,2,176,30,139,404,,,
UB-23,SSW of vent,Crater P,whole_rock,459555,4095249,37.00252464,-117.4545741,49.82,1.98,16.95,9.99,0.17,5.13,8.04,3.95,2.34,1.22,98.41,1387,196,64,29,19,100,37,81,49,11,28,17,1578,9,3,176,30,137,402,,,
UB-28,Big South gulch,Crater P,whole_rock,459429,4094920,36.99955356,-117.4559725,49.62,1.97,16.88,10.20,0.17,5.25,7.95,4.04,2.34,1.19,97.91,1364,189,68,29,20,101,36,81,50,11,29,18,1558,9,4,174,29,137,396,,,
UB-12,SW wall Little Hebe crater,Little Hebe,whole_rock,459755,4095415,37.00402958,-117.4523352,49.87,1.95,16.84,9.98,0.16,4.98,8.27,3.99,2.37,1.20,97.68,1357,189,66,28,20,102,35,78,49,10,29,17,1542,10,3,172,29,127,391,,,
UB-15,fall in North segment of  Amphitheater,Little Hebe,whole_rock,459924,4095368,37.00361313,-117.4504333,49.84,1.95,16.81,9.99,0.17,5.15,8.06,4.05,2.37,1.19,98.51,1378,193,76,31,21,99,36,79,50,11,30,18,1550,10,5,175,29,136,396,,,
UB-29,fall in North segment of  Amphitheater,Little Hebe,whole_rock,459951,4095502,37.00482218,-117.4501369,49.72,1.97,16.89,10.00,0.17,5.18,7.99,4.12,2.36,1.21,98.62,1392,193,72,29,21,102,37,80,50,10,28,17,1568,10,2,180,29,138,398,,,
UB-30,fall in North segment of  Amphitheater,Little Hebe,whole_rock,459955,4095505,37.00484939,-117.4500921,49.80,1.96,16.88,10.08,0.17,5.16,8.02,3.97,2.36,1.19,99.04,1383,197,69,30,21,100,36,80,50,10,29,17,1563,8,3,176,30,137,399,,,
UB-8,Gulch 1,"South segment Amphitheater, basal fall",whole_rock,460237,4095095,37.00116557,-117.446901,49.75,1.96,16.89,10.12,0.17,5.13,7.88,4.11,2.38,1.21,98.85,1395,196,66,29,20,101,37,80,50,10,29,17,1569,9,2,175,29,139,402,,,
UB-9,Gulch 3,"South segment Amphitheater, basal fall",whole_rock,460020,4094997,37.00027297,-117.4493346,49.75,1.96,16.88,10.05,0.17,5.17,7.90,4.12,2.37,1.22,98.41,1388,198,65,28,21,106,36,79,50,10,28,16,1564,9,2,175,29,136,401,,,
UB-9R,Gulch 3,"South segment Amphitheater, basal fall",whole_rock,460020,4094997,37.00027297,-117.4493346,49.70,1.97,16.92,10.04,0.17,5.17,7.91,4.13,2.37,1.22,98.90,1394,195,66,28,20,101,37,83,50,12,28,18,1578,9,3,175,31,137,403,,,
UB-10,nose btwn Gulches 2-3 (contaminated?),"South segment Amphitheater, basal fall",whole_rock,459817,4095146,37.00160742,-117.451624,50.62,1.91,16.74,9.79,0.17,5.01,7.73,4.05,2.43,1.15,98.64,1364,187,62,27,21,100,35,77,47,10,33,18,1513,9,5,174,29,130,386,,,
UB-11,South wall Ubehebe Crater at corner of Alcove Crater,"Initial Scoria Fall ""S""",whole_rock,459695,4095582,37.00553236,-117.4530185,49.81,1.97,16.91,10.06,0.17,5.17,7.94,3.98,2.37,1.21,98.80,1391,196,65,28,20,100,37,80,50,10,29,17,1574,9,2,177,29,139,401,,,
UB-16,South rim of Ubehebe Crater,"Initial Scoria Fall ""S""",whole_rock,459862,4095587,37.00558458,-117.4511418,49.75,1.98,16.91,9.94,0.17,5.16,7.98,4.12,2.38,1.22,98.34,1387,193,65,30,20,105,36,81,49,10,28,17,1572,9,2,178,30,139,400,,,
UB-17,Southwest wall of Ubehebe Crater,"Initial Scoria Fall ""S""",whole_rock,459644,4095735,37.00690934,-117.4535999,49.79,1.97,16.88,10.01,0.17,5.17,7.92,4.10,2.38,1.22,99.13,1390,196,65,29,20,103,36,80,50,11,29,17,1578,9,3,175,29,139,403,,,
UB-18,West wall of Ubehebe Crater,"Initial Scoria Fall ""S""",whole_rock,459588,4095755,37.00708721,-117.4542304,49.78,1.98,16.96,9.92,0.17,5.16,7.92,4.10,2.37,1.22,98.63,1393,196,67,28,19,103,35,81,49,9,28,17,1570,10,3,175,29,137,401,,,
UB-19A,lowest fall exposed in Crater U,"Initial Scoria Fall ""S""",whole_rock,459393,4095838,37.00782698,-117.4564266,49.79,1.98,16.92,9.98,0.18,5.19,7.89,4.07,2.38,1.22,98.80,1391,196,64,28,20,102,37,82,50,10,28,17,1573,10,3,176,30,139,404,,,
UB-25B,basal fall on basement north of Ubehebe Crater,"Initial Scoria Fall ""S""",whole_rock,460193,4097033,37.01863311,-117.4474979,50.02,1.96,16.92,9.99,0.17,5.13,7.78,4.04,2.39,1.20,98.25,1371,192,65,29,20,105,36,81,49,10,29,16,1548,9,2,176,30,135,398,,,
UB-26,South wall of Ubehebe Crater,"Initial Scoria Fall ""S""",whole_rock,459785,4095608,37.00577059,-117.4520083,49.82,1.97,16.92,10.03,0.17,5.15,7.97,3.97,2.38,1.21,99.07,1392,200,76,31,22,97,36,81,50,10,29,17,1577,9,4,179,30,139,399,,,
UB-27,"Basal fall on basement, east end of south wall of Ubehebe Crater","Initial Scoria Fall ""S""",whole_rock,459976,4095694,37.00655396,-117.4498662,49.80,1.97,16.87,10.01,0.17,5.17,7.92,4.10,2.37,1.22,98.54,1393,194,67,30,20,103,37,81,49,9,29,17,1573,10,3,176,29,135,401,,,
UB-31,"lowest exposed fall, south wall Crater W","Initial Scoria Fall ""S""",whole_rock,459079,4095853,37.00794857,-117.4599567,49.50,1.96,16.87,10.39,0.17,5.17,7.84,4.12,2.35,1.23,98.85,1387,197,64,29,19,101,36,80,47,9,29,16,1576,8,2,176,30,138,399,,,
UB-32,lowest fall exposed in Crater U,"Initial Scoria Fall ""S""",whole_rock,459392,4095840,37.00784496,-117.4564379,49.86,1.92,16.91,10.26,0.17,5.11,7.79,4.01,2.36,1.21,99.01,1364,194,67,30,21,103,37,79,47,9,32,17,1547,9,4,174,29,137,394,,,
UB-34,"basal fall on basement in Sec. 23,  north wall of Ubehebe Crater","Initial Scoria Fall ""S""",whole_rock,459775,4096339,37.01235949,-117.4521598,49.83,1.94,16.86,10.34,0.17,5.14,7.75,4.01,2.35,1.21,98.57,1372,193,73,27,21,103,36,79,48,10,31,16,1544,8,4,172,30,139,394,,,
S_41,site 4,"Initial Scoria Fall ""S""",EDS,459655,4095731,37.00687375,-117.453476,54.75,2.42,16.09,9.71,0.22,3.09,6.26,3.64,3.83,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,
S_41,site 8,"Initial Scoria Fall ""S""",EDS,459655,4095731,37.00687375,-117.453476,54.10,2.53,15.91,9.97,0.19,3.29,6.56,3.93,3.52,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,
S_41,site 10,"Initial Scoria Fall ""S""",EDS,459655,4095731,37.00687375,-117.453476,54.33,2.46,16.19,9.55,0.12,3.21,6.45,4.14,3.54,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,
S_41,site 20,"Initial Scoria Fall ""S""",EDS,459655,4095731,37.00687375,-117.453476,54.29,2.40,16.22,9.58,0.20,3.18,6.55,3.97,3.61,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,
S_41,site 23,"Initial Scoria Fall ""S""",EDS,459655,4095731,37.00687375,-117.453476,54.02,2.52,16.01,9.53,0.22,3.16,6.46,4.45,3.65,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,
T_41,site 29,"Initial Scoria Fall ""S""",EDS,459655,4095731,37.00687375,-117.453476,61.81,0.00,17.58,4.09,0.00,0.76,4.62,5.59,5.55,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,
T_41,site 30,"Initial Scoria Fall ""S""",EDS,459655,4095731,37.00687375,-117.453476,54.66,0.69,15.21,10.34,0.00,2.27,6.95,4.55,4.34,0.99,100.00,,,,,,,,,,,,,,,,,,,,,,
T_41,site 31,"Initial Scoria Fall ""S""",EDS,459655,4095731,37.00687375,-117.453476,65.75,0.00,18.26,2.28,0.00,0.00,0.00,6.63,7.08,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,
T_55,Site 2,"Initial Scoria Fall ""S""",EDS,459099,4095925,37.00859845,-117.4597358,60.78,0.00,15.93,6.26,0.00,1.48,4.88,5.73,4.50,0.44,100.00,,,,,,,,,,,,,,,,,,,,,,
T_55,site 4,"Initial Scoria Fall ""S""",EDS,459099,4095925,37.00859845,-117.4597358,55.56,0.40,17.69,6.87,0.00,2.92,8.98,5.05,2.54,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,
T_55,site 6,"Initial Scoria Fall ""S""",EDS,459099,4095925,37.00859845,-117.4597358,54.97,1.75,15.81,9.74,0.00,2.35,5.24,5.20,4.61,0.32,100.00,,,,,,,,,,,,,,,,,,,,,,
S_55,site 30,"Initial Scoria Fall ""S""",EDS,459099,4095925,37.00859845,-117.4597358,53.99,2.60,14.49,9.90,0.15,4.67,8.67,2.87,2.66,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,
S_55,site 36,"Initial Scoria Fall ""S""",EDS,459099,4095925,37.00859845,-117.4597358,55.11,2.60,16.08,9.81,0.20,3.13,6.46,3.40,3.18,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,
S_55,site 40,"Initial Scoria Fall ""S""",EDS,459099,4095925,37.00859845,-117.4597358,55.32,2.52,16.19,9.40,0.18,3.09,6.40,3.42,3.48,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,
S_55,site 42,"Initial Scoria Fall ""S""",EDS,459099,4095925,37.00859845,-117.4597358,55.08,2.55,16.28,9.70,0.23,3.07,6.39,3.40,3.30,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,
S_55,site 49,"Initial Scoria Fall ""S""",EDS,459099,4095925,37.00859845,-117.4597358,55.16,2.56,16.18,9.82,0.25,3.09,6.48,3.19,3.26,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,
S_60,site 4,"Initial Scoria Fall ""S""",EDS,460193,4097039,37.01868719,-117.4474982,52.92,2.59,15.17,9.88,0.23,3.13,6.06,3.26,3.37,1.26,100.00,,,,,,,,,,,,,,,,,,,,,,
S_60,site 6,"Initial Scoria Fall ""S""",EDS,460193,4097039,37.01868719,-117.4474982,54.21,2.45,16.17,9.31,0.15,3.04,6.38,3.71,3.41,1.14,100.00,,,,,,,,,,,,,,,,,,,,,,
S_60,site 8,"Initial Scoria Fall ""S""",EDS,460193,4097039,37.01868719,-117.4474982,53.14,2.36,15.73,9.23,0.15,3.00,6.09,3.87,3.56,1.06,100.04,,,,,,,,,,,,,,,,,,,,,,
S_60,site 10,"Initial Scoria Fall ""S""",EDS,460193,4097039,37.01868719,-117.4474982,53.56,2.42,15.15,9.28,0.16,2.75,5.92,3.44,3.07,1.07,96.82,,,,,,,,,,,,,,,,,,,,,,
S_60,site 12,"Initial Scoria Fall ""S""",EDS,460193,4097039,37.01868719,-117.4474982,53.27,2.41,15.66,9.29,0.22,3.09,6.26,3.24,3.16,1.14,97.75,,,,,,,,,,,,,,,,,,,,,,
T_60,site 28,"Initial Scoria Fall ""S""",EDS,460193,4097039,37.01868719,-117.4474982,66.15,,22.27,,,,3.48,4.66,3.43,,100.00,,,,,,,,,,,,,,,,,,,,,,
T_60,site 29,"Initial Scoria Fall ""S""",EDS,460193,4097039,37.01868719,-117.4474982,68.36,,16.65,6.40,,,1.85,3.90,2.83,,100.00,,,,,,,,,,,,,,,,,,,,,,
T_60,site 30,"Initial Scoria Fall ""S""",EDS,460193,4097039,37.01868719,-117.4474982,55.75,1.55,16.42,8.46,,2.31,5.81,5.02,4.12,0.56,100.00,,,,,,,,,,,,,,,,,,,,,,
T_63,Site 5,"Initial Scoria Fall ""S""",EDS,460497,4096202,37.0111552,-117.444037,63.14,0.00,17.37,4.77,0.00,0.98,3.94,5.64,4.15,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,
T_63,site 7,"Initial Scoria Fall ""S""",EDS,460497,4096202,37.0111552,-117.444037,59.40,0.55,15.78,8.00,0.00,3.16,5.14,4.33,3.65,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,
T_63,site 8,"Initial Scoria Fall ""S""",EDS,460497,4096202,37.0111552,-117.444037,58.54,0.00,17.51,5.62,0.00,3.08,5.10,3.94,4.43,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,
T_63,site 13,"Initial Scoria Fall ""S""",EDS,460497,4096202,37.0111552,-117.444037,53.54,1.73,15.71,9.83,0.00,3.23,5.93,5.36,4.36,0.30,100.00,,,,,,,,,,,,,,,,,,,,,,
T_63,site 14,"Initial Scoria Fall ""S""",EDS,460497,4096202,37.0111552,-117.444037,55.56,1.65,16.95,7.76,0.00,2.87,6.24,4.61,4.36,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,
63-rim,site 19,"Initial Scoria Fall ""S""",EDS,460497,4096202,37.0111552,-117.444037,53.10,2.78,15.48,9.55,0.30,3.54,6.37,4.59,2.65,1.64,100.00,,,,,,,,,,,,,,,,,,,,,,
